常看频道,#genre#
福建电视剧频道,rtsp://27.148.236.225:554/live/ch15102717162032881873.sdp?&vcdnid=001&mediaid=ch15102717162032881873&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3JKN3pUTYmJbj9g8YluO904IEeg4loJE5TUuzDCT2F5Vh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建旅游频道,rtsp://27.148.236.225:554/live/ch15102717162061906016.sdp?&vcdnid=001&mediaid=ch15102717162061906016&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3JKN3pUTYmJbj9g8YluO905CTXD3m1kDEE0U1Idpi2tOh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建经济频道,rtsp://27.148.236.225:554/live/ch15102717162009517302.sdp?&vcdnid=001&mediaid=ch15102717162009517302&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3JKN3pUTYmJbj9g8YluO904v5OgEz4TXe7uvEffjkmm7h6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建体育频道,rtsp://27.148.236.225:554/live/ch17041318323608461611.sdp?&vcdnid=001&mediaid=ch17041318323608461611&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3JlYGdzfOf8MjpBgAJxrY8joqLdLkEbU0xb%2B2n9f2q%2Fwh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建少儿频道,rtsp://27.148.236.225:554/live/ch15102717162041774825.sdp?&vcdnid=001&mediaid=ch15102717162041774825&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3JKN3pUTYmJbj9g8YluO904qrfR5mxg5S9YvoUt82iDNh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
海峡卫视,rtsp://27.148.236.225:554/live/ch17033111334107910034.sdp?&vcdnid=001&mediaid=ch17033111334107910034&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3GrUKUHRKzWq2%2B%2BafVRDYVMqOcFeJGqIyD0BTkMXO7Vch6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建教育频道,rtsp://27.148.236.225:554/live/ch17092110554866036216.sdp?&vcdnid=001&mediaid=ch17092110554866036216&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3D%2FywDMI5vXIFvOtKzX3b%2BAs7DCwVtKQv8r4D9g8otWhh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
福建综合频道,http://27.148.240.138/PLTV/88888888/224/3221226722/1.m3u8
东南卫视,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
福建公共频道,http://27.148.240.138/PLTV/88888888/224/3221226928/1.m3u8
福建新闻频道,http://27.148.240.138/PLTV/88888888/224/3221226736/1.m3u8
福建电视剧频道,http://27.148.240.138/PLTV/88888888/224/3221226732/1.m3u8
福建旅游频道,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
福建经济频道,http://27.148.240.138/PLTV/88888888/224/3221226920/1.m3u8
福建少儿频道,http://27.148.240.138/PLTV/88888888/224/3221226738/1.m3u8
福建体育频道,http://27.148.240.138/PLTV/88888888/224/3221226749/1.m3u8
福建教育频道,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
海峡卫视国际频道,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
厦门新闻频道,rtsp://27.148.236.225:554/live/ch15102712173616484873.sdp?&vcdnid=001&mediaid=ch15102712173616484873&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3Fex3plSAaIrztZ%2FCDi900vjAASTp88WZpj142nYcxUQh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
央视新闻,https://newsalic.v.myalicdn.com/news/news10_1/index.m3u8?contentid=2820180516001
央视卫视,#genre#
CCTV-1综合,http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV-2财经,http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV-3综艺,http://39.134.66.66/PLTV/88888888/224/3221225490/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-4中文国际,http://27.148.240.138/PLTV/88888888/224/3221226784/1.m3u8
CCTV-4欧洲,http://218.98.16.3:8080/live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?&encrypt=#http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2_hd/index.m3u8
CCTV-4美洲,http://218.98.16.3:8080/live.hcs.cmvideo.cn:8088/migu/kailu/20200324/cctv4meihd/57/index.m3u8?&encrypt=#http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2_hd/index.m3u8
CCTV-5体育,http://39.134.66.66/PLTV/88888888/224/3221225606/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226978/1.m3u8
CCTV-5+体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225590/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226321/index.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226850/1.m3u8
CCTV-6电影,http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8#http://suo.im/6cpkGe
CCTV-7国防军事,http://27.148.240.138/PLTV/88888888/224/3221226780/1.m3u8
CCTV-8电视剧,http://39.134.66.66/PLTV/88888888/224/3221225485/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8#http://suo.im/5J4GIa#http://223.110.247.161:6610/cntv/live1/HD-2500k-1080P-cctv8/HD-2500k-1080P-cctv8.m3u8#http://223.110.241.149:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/1.m3u8
CCTV-9纪录,http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV-10科教,http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV-11戏曲,http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8
CCTV12社会与法,http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV-13新闻,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8#http://suo.im/6mxiaS#http://suo.im/60rnBK#http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225508/index.m3u8
CCTV-14少儿,http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV-15音乐,http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV-17农业农村,http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8
CCTV-4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229683/index.m3u8#http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/01.m3u8?fmt=ts2hls#http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8
东南卫视,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
厦门卫视,http://xiamenalic.v.myalicdn.com/xiamen/xiamen4_1/index.m3u8
海峡卫视国际频道,http://27.148.240.138/PLTV/88888888/224/3221226748/1.m3u8
东方卫视,http://27.148.240.138/PLTV/88888888/224/3221226765/1.m3u8
浙江卫视,http://27.148.240.138/PLTV/88888888/224/3221226763/1.m3u8
北京卫视,http://27.148.240.138/PLTV/88888888/224/3221226764/1.m3u8
广东卫视,http://27.148.240.138/PLTV/88888888/224/3221226746/1.m3u8
江苏卫视,http://27.148.240.138/PLTV/88888888/224/3221226752/1.m3u8
湖南卫视,http://27.148.240.138/PLTV/88888888/224/3221226753/1.m3u8
天津卫视,http://27.148.240.138/PLTV/88888888/224/3221226760/1.m3u8
安徽卫视,http://27.148.240.138/PLTV/88888888/224/3221226756/1.m3u8
江西卫视,http://27.148.240.138/PLTV/88888888/224/3221226757/1.m3u8
山东卫视,http://27.148.240.138/PLTV/88888888/224/3221226984/1.m3u8
海南卫视,http://27.148.240.138/PLTV/88888888/224/3221226830/1.m3u8#http://27.148.240.138/PLTV/88888888/224/3221226990/1.m3u8
河南卫视,http://27.148.240.138/PLTV/88888888/224/3221226904/1.m3u8
贵州卫视,http://27.148.240.138/PLTV/88888888/224/3221226728/1.m3u8
重庆卫视,http://27.148.240.138/PLTV/88888888/224/3221226730/1.m3u8
四川卫视,http://27.148.240.138/PLTV/88888888/224/3221226767/1.m3u8
湖北卫视,http://27.148.240.138/PLTV/88888888/224/3221226933/1.m3u8
河北卫视,http://27.148.240.138/PLTV/88888888/224/3221226943/1.m3u8
吉林卫视,http://27.148.240.138/PLTV/88888888/224/3221226865/1.m3u8
黑龙江卫视,http://27.148.240.138/PLTV/88888888/224/3221226720/1.m3u8
辽宁卫视,http://27.148.240.138/PLTV/88888888/224/3221226783/1.m3u8
云南卫视,http://27.148.240.138/PLTV/88888888/224/3221226900/1.m3u8
深圳卫视,http://101.71.255.229:6610/zjhs/2/10045/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
甘肃卫视,http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxhd.m3u8#rtmp://58.200.131.2:1935/livetv/gxhd
新疆卫视,http://livehyw5.chinamcache.com/hyw/zb01.m3u8
青海卫视,http://live.geermurmt.com/qhws/sd/live.m3u8
宁夏卫视,http://www.nxtv.com.cn/m2o/channel/play.php?channel_id=6&.m3u8
内蒙古卫视,http://live.m2oplus.nmtv.cn/1/sd/live.m3u8#http://live.m2oplus.nmtv.cn/1/playlist.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-a772df604950/index.m3u8

陕西卫视,http://61.151.179.192/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
陕西卫视,http://27.148.240.138/PLTV/88888888/224/3221226908/1.m3u8
广西卫视,http://27.148.240.138/PLTV/88888888/224/3221226834/1.m3u8
青海卫视,http://27.148.240.138/PLTV/88888888/224/3221226838/1.m3u8
甘肃卫视,http://27.148.240.138/PLTV/88888888/224/3221226867/1.m3u8
宁夏卫视,http://27.148.240.138/PLTV/88888888/224/3221226842/1.m3u8
内蒙古卫视,http://27.148.240.138/PLTV/88888888/224/3221226846/1.m3u8
新疆卫视,http://27.148.240.138/PLTV/88888888/224/3221226952/1.m3u8
山西卫视,http://springrain.top/shuliyun.php?id=166#http://player.ioioz.com:80/1786/hunan/hnyx2m3u8.php?id=54#http://27.148.240.138/PLTV/88888888/224/3221226869/1.m3u8
三沙卫视,http://27.148.240.138/PLTV/88888888/224/3221227072/1.m3u8
西藏卫视,http://27.148.240.138/PLTV/88888888/224/3221226905/1.m3u8
兵团卫视,http://27.148.240.138/PLTV/88888888/224/3221226918/1.m3u8
南方卫视,http://27.148.240.138/PLTV/88888888/224/3221226823/1.m3u8
教育1台,http://27.148.240.138/PLTV/88888888/224/3221226912/1.m3u8
教育2台,http://27.148.240.138/PLTV/88888888/224/3221226840/1.m3u8
教育3台,http://nas.330421.cn:8000/iptv/cetv/?id=449
教育4台,http://27.148.240.138/PLTV/88888888/224/3221227084/1.m3u8
CGTN,http://39.130.215.158:6610/gitv_live/G_CGTN-HD/#http://ivi.bupt.edu.cn/hls/cgtnhd.m3u8
CGTN纪录(英),http://39.130.206.213:6410/gitv_live/G_CGTVJL-HD/G_CGTVJL-HD.m3u8
中国交通频道,http://sam629205.f3322.net:2018/udp/239.93.0.142:5140
电视指南,http://tjy2002.vicp.net:4022/udp/239.253.43.19:5146
风云足球,http://tjy2002.vicp.net:4022/udp/239.253.43.14:5146
风云音乐,http://tjy2002.vicp.net:4022/udp/239.253.43.6:5146
风云剧场,http://tjy2002.vicp.net:4022/udp/239.253.43.16:5146
世界地理,http://tjy2002.vicp.net:4022/udp/239.253.43.7:5146
兵器科技,http://tjy2002.vicp.net:4022/udp/239.253.43.9:5146
女性时尚,http://tjy2002.vicp.net:4022/udp/239.253.43.8:5146
卫生健康,http://tjy2002.vicp.net:4022/udp/239.253.43.10:5146
高尔夫网球,http://tjy2002.vicp.net:4022/udp/239.253.43.12:5146
央视精品,http://tjy2002.vicp.net:4022/udp/239.253.43.13:5146
第一剧场,http://tjy2002.vicp.net:4022/udp/239.253.43.15:5146
怀旧剧场,http://tjy2002.vicp.net:4022/udp/239.253.43.5:5146
CCTV央视台球,http://tjy2002.vicp.net:4022/udp/239.253.43.11:5146
第一剧场,http://tv.tvtree.top/gzgd.php?nm=&id=155774022270441e808f7fe34a461113&usr=scdzhdkl
风云剧场,http://tv.tvtree.top/gzgd.php?nm=&id=28b3dfac03626525db867cfe5efa6c08&usr=scdzhdkl
兵器科技,http://tv.tvtree.top/gzgd.php?nm=&id=a0e5ccb15677fd5ecb6bfe15eeae94aa&usr=scdzhdkl
发现之旅,http://tv.tvtree.top/gzgd.php?nm=&id=0d7c4ba0acfe86609acdbcb88ef54f3a&usr=scdzhdkl
风云足球,http://tv.tvtree.top/gzgd.php?nm=&id=9a4447cf2f6ad5e48a273929e3e12d79&usr=scdzhdkl
高尔夫网球,http://tv.tvtree.top/gzgd.php?nm=&id=739c8947f3ae1fff32001ea966c2fb0d&usr=scdzhdkl
怀旧剧场,http://tv.tvtree.top/gzgd.php?nm=&id=7a2b1c83b212fa4e2a68ce0c1c25c9f0&usr=scdzhdkl
老故事,http://tv.tvtree.top/gzgd.php?nm=&id=d92287ad8f1851adbf7365becc0f6ca8&usr=scdzhdkl
女性时尚,http://tv.tvtree.top/gzgd.php?nm=&id=85ed018e64f01b4ce5b455a1552dbde6&usr=scdzhdkl
世界地理,http://tv.tvtree.top/gzgd.php?nm=&id=6e407aeb2256f118cbc7500efb69ea37&usr=scdzhdkl

CCTV-1综合,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226346/1.m3u8
CCTV-1综合,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/1.m3u8
CCTV-2财经,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226472/1.m3u8
CCTV-3综艺,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8
CCTV-4中文国际,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226470/1.m3u8
CCTV-5体育,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8
CCTV-5+体育赛事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226458/1.m3u8
CCTV-6电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226468/1.m3u8
CCTV-7国防军事,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226467/1.m3u8
CCTV-8电视剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226485/1.m3u8
CCTV-9纪录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CCTV-10科教,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226464/1.m3u8
CCTV-11戏曲,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CCTV12社会与法,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CCTV-13新闻,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8
CCTV-14少儿,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8
CCTV-15音乐,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226460/1.m3u8
CCTV-17农业农村,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226459/1.m3u8

CETV-1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8
东南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226496/1.m3u8
东方卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226505/1.m3u8
浙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226504/1.m3u8
北京卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226441/1.m3u8
广东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226508/1.m3u8
江苏卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226506/1.m3u8
湖南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226509/1.m3u8
天津卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226502/1.m3u8
安徽卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226499/1.m3u8
江西卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
山东卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226501/1.m3u8
贵州卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226497/1.m3u8
湖北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226503/1.m3u8
河北卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226507/1.m3u8
黑龙江卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226498/1.m3u8
辽宁卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226500/1.m3u8
深圳卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226495/1.m3u8
南方卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226540/1.m3u8

数字频道,#genre#

CHC家庭影院,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8#http://suo.im/5CGe4Y#http://suo.im/6sabwh
CHC动作电影,http://39.134.18.68/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#http://suo.im/6tk4Ga#http://suo.im/5tWiYK
CHC高清电影,http://39.134.18.69/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8#http://suo.im/5v9XMB#http://suo.im/65wWa1
HD,http://hpull.kktv8.com/livekktv/111536805/playlist.m3u8
​峨嵋电影频道,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
湖南电影频道,http://0594.52yi.vip/yxds.php?id=43029#http://124.229.36.68:4022/udp/239.76.252.119:9000
BTV淘电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8
BTV淘剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226553/1.m3u8
BTV淘娱乐,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226551/1.m3u8
BTV淘Baby,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226554/1.m3u8
BTV萌宠TV,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226555/1.m3u8
BTV4K超清,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226550/1.m3u8
BTV大健康,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226556/1.m3u8
BTV卡酷少儿,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226558/1.m3u8
浙江首映电影,http://szdl.3322.org:8888/rtp/233.50.201.239:5140
浙江环球电影,http://szdl.3322.org:8888/rtp/233.50.201.231:5140
浙江动作影院,http://szdl.3322.org:8888/rtp/233.50.201.232:5140
浙江欧美影院,http://szdl.3322.org:8888/rtp/233.50.201.230:5140
浙江华语影院,http://szdl.3322.org:8888/rtp/233.50.201.240:5140
浙江4K超清,http://szdl.3322.org:8888/rtp/233.50.201.243:5140
浙江古装剧场,http://szdl.3322.org:8888/rtp/233.50.201.236:5140
浙江白金剧场,http://szdl.3322.org:8888/rtp/233.50.201.234:5140
浙江热门综艺,http://szdl.3322.org:8888/rtp/233.50.201.233:5140
浙江谍战剧场,http://szdl.3322.org:8888/rtp/233.50.201.235:5140
浙江咕噜动漫,http://szdl.3322.org:8888/rtp/233.50.201.238:5140
浙江健康养生,http://szdl.3322.org:8888/rtp/233.50.201.237:5140
浙江第二课堂,http://szdl.3322.org:8888/rtp/233.50.201.245:5140

湖南IPTV4K,http://124.229.36.68:4022/udp/239.76.252.35:9000
湖南IPTV高清影院,http://124.229.36.68:4022/udp/239.76.252.217:9000
湖南IPTV抗战剧场,http://124.229.36.68:4022/udp/239.76.252.218:9000
湖南IPTV古装剧场,http://124.229.36.68:4022/udp/239.76.252.219:9000
湖南IPTV家庭剧场,http://124.229.36.68:4022/udp/239.76.252.220:9000
湖南IPTV经典剧场,http://124.229.36.68:4022/udp/239.76.252.221:9000
湖南IPTV电竞,http://124.229.36.68:4022/udp/239.76.252.214:9000
爱上4K,http://124.229.36.68:4022/udp/239.76.252.223:9000
CBN每日影院,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=71&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
CBN每日影院,http://home.lpfcdn.com:4000/udp/235.254.198.192:7980
CBN幸福剧场,http://home.lpfcdn.com:4000/udp/235.254.198.193:7980
CBN风尚生活,http://home.lpfcdn.com:4000/udp/235.254.198.194:7980
CBN幸福娱乐,http://home.lpfcdn.com:4000/udp/235.254.198.195:7980
CBN风尚生活,http://tv.tvtree.top/gzgd.php?nm=&id=bd5a65f3eef22bf93ac0169b64ffbd7e&usr=scdzhdkl
CBN幸福剧场,http://tv.tvtree.top/gzgd.php?nm=&id=245ba3ebf5e9e61dc1999ff32a95d349&usr=scdzhdkl
CBN幸福娱乐,http://tv.tvtree.top/gzgd.php?nm=&id=0d07e6691ffa49f2cc46b9c0a6f506f2&usr=scdzhdkl
邵氏电影,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8

峨嵋电影频道,http://sam629205.f3322.net:2018/udp/239.93.1.018:5140
峨嵋电影频道,http://sam629205.f3322.net:2018/udp/239.93.1.054:5140
熊猫爱生活,http://sam629205.f3322.net:2018/udp/239.93.1.190:5140
熊猫影院,http://sam629205.f3322.net:2018/udp/239.93.0.214:5140
熊猫体娱,http://sam629205.f3322.net:2018/udp/239.93.0.94:5140
熊猫新闻,http://sam629205.f3322.net:2018/udp/239.93.1.112:5140
熊猫卡通,http://sam629205.f3322.net:2018/udp/239.93.1.172:5140
熊猫少儿,http://sam629205.f3322.net:2018/udp/239.93.1.189:5140
爱上4K,http://sam629205.f3322.net:2018/udp/239.93.1.113:5140
大爱旅游,http://sam629205.f3322.net:2018/udp/239.93.1.234:5140
大爱生活,http://sam629205.f3322.net:2018/udp/239.93.1.235:5140
大爱四川,http://sam629205.f3322.net:2018/udp/239.93.1.110:5140
CHC家庭影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240323_1/encoder/0/playlist.m3u8?CONTENTID=00000110240323_1
CHC动作电影,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240324_1/encoder/0/playlist.m3u8?CONTENTID=00000110240324_1
CHC高清电影,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240325_1/encoder/0/playlist.m3u8?CONTENTID=00000110240325_1
喜剧影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240276_1/encoder/0/playlist.m3u8?CONTENTID=00000110240276_1
动作影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240277_1/encoder/0/playlist.m3u8?CONTENTID=00000110240277_1
家庭影院,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240278_1/encoder/0/playlist.m3u8?CONTENTID=00000110240278_1
武侠剧场,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240308_1/encoder/0/playlist.m3u8?CONTENTID=00000110240308_1
星影,http://61.160.152.55/live.aishang.ctlcdn.com/00000110240279_1/encoder/0/playlist.m3u8?CONTENTID=00000110240279_1
精彩综艺,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8
精彩电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8
精彩电视剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
精品剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225513/index.m3u8
